Subgroup,Family,Subfamily,Members
FPVR,,,RET;FGFR1;FGFR2;FGFR4;FGFR3;FLT1;FLT4;KDR;FMS;KIT;FLT3;PDGFRb;PDGFRa
FPVR,Ret,,RET
FPVR,FGFR,,FGFR1;FGFR2;FGFR4;FGFR3
FPVR,PVR,,FLT1;FLT4;KDR;FMS;KIT;FLT3;PDGFRb;PDGFRa
FPVR,PVR,VEGFR,FLT1;FLT4;KDR
FPVR,PVR,PDGFR,PDGFRb;PDGFRa
FPVR,PVR,Kit,KIT
FPVR,PVR,CSF1R,FMS
FPVR,PVR,Flt3,FLT3
Tie,,,TIE1;TIE2
EGFR,,,EGFR;HER2;HER3;HER4
Axl,,,AXL;TYRO3;MER
Met,,,MET;RON
Ryk,,,RYK
IRKL,,,CCK4;LTK;ALK;ROS;INSR;IGF1R;IRR;DDR1;DDR2;MUSK;TRKA;TRKC;TRKB;ROR1;ROR2;LMR1;LMR2;LMR3
IRKL,Ror,,ROR1;ROR2
IRKL,Trk,,TRKA;TRKC;TRKB
IRKL,Musk,,MUSK
IRKL,DDR,,DDR1;DDR2
IRKL,InsR,,INSR;IGF1R;IRR
IRKL,Sev,,ROS
IRKL,ALK,,LTK;ALK
IRKL,CCK4,,CCK4
IRKL,Lmr,,LMR1;LMR2;LMR3
Eph,,,EphA5;EphA3;EphA4;EphA6;EphA7;EphB2;EphB1;EphB3;EphB4;EphA8;EphA2;EphA1;EphB6;EphA10
SrcM,,,FYN;YES;FGR;SRC;LCK;LYN;HCK;BLK;TEC;TXK;BMX;BTK;ITK;ABL;ARG;FRK
SrcM,SrcA,,FYN;YES;FGR;SRC
SrcM,SrcB,,LCK;LYN;HCK;BLK
SrcM,Frk,,FRK
SrcM,Tec,,TEC;TXK;BMX;BTK;ITK
SrcM,Abl,,ABL;ARG
SRM,,,BRK;SRM
Csk,,,CSK;CTK
Fer,,,FES;FER
FAK,,,FAK;PYK2
Syk,,,ZAP70;SYK
Jak,,,TYK2;JAK1;JAK2;JAK3
JakB,,,TYK2b;JAK1b;JAK2b;JAK3b
Ack,,,ACK;TNK1
STYK1,,,SuRTK106
